id,consecutivo,nombre_asignado,especie,nombre_comun,categorias,fecha_decreto,alcaldia,colonia,calle,numero,cp,tipo_ubicacion,latitud,longitud,altura_m,diametro_cm,circunferencia_cm,ancho_copa_m,largo_copa_m,extension_copa_m,edad_estimada_anios,expectativa_vida,categoria_riesgo_uicn,co2_absorbido_kg_anio,precipitacion_interceptada_l_anio,escorrentia_reducida_l_anio,link_decreto
25-MIH-TAX-19405GIMNO-0001,0001,Tacuba,Taxodium mucronatum,Ahuehuete,"CENTENARIO; HISTORICO; NOTABLE",2026-06-01,Miguel Hidalgo,Tacuba,Avenida Marina Nacional,S/N,11410,Banqueta,19.457671,-99.188791,22,320,1005.31,18,19,28,,Más de 40,Preocupación menor (LC),2.9,134738.05,185.83,GOCDMX_26-06-01_TACUBA.pdf
25-CUH-TAX-19405GIMNO-0002,0002,Jardin San Fernando,Taxodium mucronatum,Ahuehuete,NOTABLE,2026-05-28,Cuauhtémoc,Guerrero,Eje 1 Poniente Guerrero,S/N,06300,Jardín de San Fernando,19.438349,-99.148823,28,175,549.78,22,16,27,,Más de 40,Preocupación menor (LC),3.77,,,DECRETO_ JARDIN DE SAN FERNANDO.pdf
25-COY-TAX-19405GIMNO-0003,0003,San Diego Churubusco,Taxodium mucronatum,Ahuehuete,"HISTORICO; NOTABLE",2026-06-02,Coyoacán,San Diego Churubusco,Calle 20 de agosto,S/N,04120,Plaza,19.354239,-99.148478,20.2,154,483.8,16.5,16,24.25,,Más de 40,Preocupación menor (LC),5.6,58965.9,82.88,GOCDMX_26-06-02_CHURUBUSCO.pdf
25-CUH-TAX-19405GIMNO-0004,0004,Jardín Ramón López Velarde,Taxodium mucronatum,Ahuehuete,NOTABLE,2026-05-29,Cuauhtémoc,Roma Sur,Eje 1 Poniente Avenida Cuauhtémoc,S/N,06760,Jardín Ramón López Velarde,19.409119,-99.155441,27.5,161,505.8,21,23.5,34,,Más de 40,Preocupación menor (LC),4.52,,,DECRETO JARDIN RAMON LOPEZ VELARDE.pdf
25-CUH-TAX-19405GIMNO-0005,0005,Parque España,Taxodium mucronatum,Ahuehuete,"CENTENARIO; HISTORICO; NOTABLE",2026-06-01,Cuauhtémoc,Roma Norte,Avenida Sonora,S/N,06140,Parque España,19.41616,-99.170486,28,160,502.66,16,23,31,,Más de 40,Preocupación menor (LC),4.66,,,GOCDMX_26-06-01_ESPAÑA.pdf
25-AZC-TAX-19405GIMNO-0006,0006,Viejo del Agua,Taxodium mucronatum,Ahuehuete,"CENTENARIO; HISTORICO; NOTABLE",2025-08-04,Azcapotzalco,Santa Catarina,Calle Central,S/N,02250,Jardinera,19.491067,-99.177133,27,440,1382.3,30,24,39,700,Más de 40,Preocupación menor (LC),4.15,,,DECRETO VIEJO DL AGUA LAUREANO.pdf
25-XOC-TAX-19405GIMNO-0007,0007,Árbol Ahuehuete (Sabino) de San Juan y su Arboleda,Taxodium mucronatum,Ahuehuete,,,Xochimilco,San Juan Tlatenchi,Calle Plazuela San Juan,S/N,16000,Jardinera,19.265862,-99.106594,24.5,590,1853.44,22,21,32,500,Más de 40,Preocupación menor (LC),2.24,610049.54,837.53,
25-COY-FRA-30222ANGIO-0008,0008,Santa Catarina,Fraxinus uhdei,Fresno Mexicano,NOTABLE,2026-06-03,Coyoacán,Santa Catarina,Avenida Francisco Sosa,202-A,04010,Banqueta,19.349388,-99.170505,26.5,195,612.61,26,26,39,,Más de 40,Preocupación menor (LC),3.2,37486.63,52.69,GOCDMX_26-06-03_CATARINA.pdf
25-COY-TAX-19405GIMNO-0009,0009,Río Magdalena,Taxodium mucronatum,Ahuehuete,NOTABLE,2026-06-02,Coyoacán,Santa Catarina,Callejón del Río,S/N,04010,Camellón,19.351499,-99.177512,26.6,180,565.49,15,106,113.5,,Más de 40,Preocupación menor (LC),3.18,70247.16,98.74,GOCDMX_26-06-02_MAGDALENA.pdf
25-AZC-TAX-19405GIMNO-0010,0010,Glorieta de Ahuehuetes,Taxodium mucronatum,Ahuehuete,NOTABLE,2026-05-28,Azcapotzalco,San Juan Tihuaca,Glorieta de los Ahuehuetes,S/N,02400,Glorieta,19.488362,-99.200791,23,92,289.03,14,18,25,,Más de 40,Preocupación menor (LC),179.48,,,DECRETO_GLORIETA DE LOS AHUEHUETES.pdf
25-CUH-TAX-19405GIMNO-0011,0011,Juarista,Taxodium mucronatum,Ahuehuete,"CENTENARIO; HISTORICO; NOTABLE",2026-05-29,Cuauhtémoc,Tabacalera,Avenida Paseo de la Reforma,S/N,06030,Plaza Luis Pasteur,19.431763,-99.158199,24,160,502.66,18,18,27,,Más de 40,Preocupación menor (LC),3.46,,,DECRETO JUARISTA.pdf
25-BJU-FIC-75040ANGIO-0012,0012,Laureano,Ficus microcarpa,Laurel de la India,"NOTABLE; SINGULAR",2025-08-04,Benito Juárez,Tlacoquemecatl del Valle,Miguel Laurent,48,03200,Sobre banqueta en esquina de Calle Miguel Laurent y Calle Fresas,19.37758,-99.17546,23,90,282.74,19.9,20.1,30.05,,Más de 40,Preocupación menor (LC),9.98,,,DECRETO VIEJO DL AGUA LAUREANO.pdf
24-BJU-FRA-30222ANGIO-0013,0013,Eugenio,Fraxinus uhdei,Fresno Mexicano,,2024-06-13,Benito Juárez,Del Valle,Cerrada de Eugenia,28,03100,Interior del predio con número 28,19.38827,-99.16593,30,122,383.28,22,19,30,,De 21 a 40 años,Preocupación menor (LC),8.27,,,DECRETO EUGENIO.pdf
