columna,descripcion,tipo,unidad,origen
id,Identificador único del ejemplar en el registro.,texto,,Registro
consecutivo,Número consecutivo dentro del registro.,texto,,Registro
nombre_asignado,Nombre con el que se conoce al ejemplar.,texto,,Registro
especie,Nombre científico validado de la especie.,texto,,Taxonomía validada
nombre_comun,Nombre común de la especie.,texto,,Taxonomía validada
categorias,"Categorías patrimoniales del ejemplar, separadas por punto y coma. Vacío si la declaratoria está en trámite.",texto,,Decreto
fecha_decreto,Fecha del decreto que lo declara patrimonial. Vacío si está en trámite.,fecha,AAAA-MM-DD,Decreto
alcaldia,Alcaldía donde se encuentra.,texto,,Ubicación de campo
colonia,Colonia donde se encuentra.,texto,,Ubicación de campo
calle,Calle del domicilio del ejemplar.,texto,,Ubicación de campo
numero,Número del domicilio. S/N cuando no lo tiene.,texto,,Ubicación de campo
cp,Código postal.,texto,,Ubicación de campo
tipo_ubicacion,"Tipo de espacio donde está: parque, camellón, plaza, predio.",texto,,Ubicación de campo
latitud,Latitud en grados decimales.,número,"grados (WGS 84, EPSG:4326)",Medición de campo
longitud,Longitud en grados decimales.,número,"grados (WGS 84, EPSG:4326)",Medición de campo
altura_m,Altura total del ejemplar.,número,metros,Medición de campo
diametro_cm,Diámetro del tronco a la altura del pecho (DAP).,número,centímetros,Medición de campo
circunferencia_cm,Circunferencia del tronco a la altura del pecho.,número,centímetros,Medición de campo
ancho_copa_m,Ancho de la copa.,número,metros,Medición de campo
largo_copa_m,Largo de la copa.,número,metros,Medición de campo
extension_copa_m,Extensión total de la copa.,número,metros,Medición de campo
edad_estimada_anios,Edad estimada. Vacío en la mayoría: solo se llena cuando hay dictamen.,número,años,Dictamen técnico
expectativa_vida,Expectativa de vida del ejemplar según su condición.,texto,,Dictamen técnico
categoria_riesgo_uicn,Categoría de riesgo de la especie en la Lista Roja de la UICN.,texto,,UICN
co2_absorbido_kg_anio,"Dióxido de carbono absorbido al año. ESTIMACIÓN, no medición. Es el carbono elemental multiplicado por 3.667; no se publican las dos columnas para no invitar a sumarlas.",número,kilogramos al año,Estimación i-Tree
precipitacion_interceptada_l_anio,"Precipitación interceptada por la copa al año. ESTIMACIÓN, no medición.",número,litros al año,Estimación i-Tree
escorrentia_reducida_l_anio,"Escorrentía superficial evitada al año. ESTIMACIÓN, no medición.",número,litros al año,Estimación i-Tree
link_decreto,"Nombre del archivo del decreto, o su dirección. Vacío mientras no esté publicado.",texto,,Decreto
